,Firm,Salary,Reports
246,Goldman Sachs,155101.0,8.0
247,Goldman Sachs,44992.0,7.0
248,Goldman Sachs,60707.0,7.0
249,Goldman Sachs,57434.0,7.0
250,Goldman Sachs,113691.0,7.0
251,Goldman Sachs,75537.0,7.0
252,Goldman Sachs,66291.0,7.0
253,Goldman Sachs,114909.0,6.0
254,Goldman Sachs,59898.0,6.0
255,Goldman Sachs,21978.0,6.0
256,Goldman Sachs,81977.0,6.0
257,Goldman Sachs,107688.0,6.0
258,Goldman Sachs,94129.0,6.0
259,Goldman Sachs,54933.0,5.0
260,Goldman Sachs,55137.0,5.0
261,Goldman Sachs,122663.0,5.0
262,Goldman Sachs,74555.0,5.0
263,Goldman Sachs,31089.0,5.0
264,Goldman Sachs,46861.0,5.0
265,Goldman Sachs,150538.0,5.0
266,Goldman Sachs,158198.0,5.0
267,Goldman Sachs,48004.0,5.0
268,Goldman Sachs,125200.0,5.0
269,Goldman Sachs,71424.0,5.0
270,Goldman Sachs,71303.0,5.0
271,Goldman Sachs,36478.0,5.0
272,Goldman Sachs,113404.0,4.0
273,Goldman Sachs,96227.0,4.0
274,Goldman Sachs,71284.0,4.0
275,Goldman Sachs,58968.0,4.0
276,Goldman Sachs,47448.0,4.0
277,Goldman Sachs,63619.0,4.0
278,Goldman Sachs,40440.0,4.0
280,Goldman Sachs,74589.0,4.0
281,Goldman Sachs,49107.0,4.0
282,Goldman Sachs,84170.0,4.0
283,Goldman Sachs,53154.0,4.0
284,Goldman Sachs,51639.0,4.0
285,Goldman Sachs,202088.0,4.0
286,Goldman Sachs,58942.0,4.0
287,Goldman Sachs,77495.0,4.0
288,Goldman Sachs,63047.0,4.0
289,Goldman Sachs,18585.0,4.0
290,Goldman Sachs,42272.0,3.0
291,Goldman Sachs,89909.0,3.0
292,Goldman Sachs,83824.0,3.0
293,Goldman Sachs,84357.0,3.0
294,Goldman Sachs,115671.0,3.0
295,Goldman Sachs,41270.0,3.0
296,Goldman Sachs,78030.0,3.0
297,Goldman Sachs,68215.0,3.0
298,Goldman Sachs,49743.0,3.0
299,Goldman Sachs,83816.0,3.0
300,Goldman Sachs,61982.0,3.0
301,Goldman Sachs,50475.0,3.0
302,Goldman Sachs,78650.0,3.0
303,Goldman Sachs,138933.0,3.0
304,Goldman Sachs,107754.0,3.0
305,Goldman Sachs,43134.0,3.0
306,Goldman Sachs,49623.0,3.0
307,Goldman Sachs,116636.0,3.0
308,Goldman Sachs,140019.0,3.0
309,Goldman Sachs,112814.0,3.0
310,Goldman Sachs,81430.0,3.0
311,Goldman Sachs,45310.0,3.0
312,Goldman Sachs,76894.0,3.0
313,Goldman Sachs,40069.0,3.0
314,Goldman Sachs,38893.0,3.0
315,Goldman Sachs,45718.0,3.0
316,Goldman Sachs,20980.0,3.0
317,Goldman Sachs,37856.0,3.0
318,Goldman Sachs,107777.0,3.0
319,Goldman Sachs,38893.0,3.0
320,Goldman Sachs,68477.0,3.0
321,Goldman Sachs,98065.0,3.0
322,Goldman Sachs,125506.0,3.0
323,Goldman Sachs,39647.0,3.0
324,Goldman Sachs,185500.0,2.0
325,Goldman Sachs,53500.0,2.0
326,Goldman Sachs,45500.0,2.0
327,Goldman Sachs,167500.0,2.0
328,Goldman Sachs,59500.0,2.0
329,Goldman Sachs,61000.0,2.0
330,Goldman Sachs,68500.0,2.0
331,Goldman Sachs,164500.0,2.0
332,Goldman Sachs,76000.0,2.0
334,Goldman Sachs,74500.0,2.0
335,Goldman Sachs,54000.0,2.0
336,Goldman Sachs,50500.0,2.0
337,Goldman Sachs,94500.0,2.0
338,Goldman Sachs,58000.0,2.0
339,Goldman Sachs,78000.0,2.0
340,Goldman Sachs,22500.0,2.0
341,Goldman Sachs,160500.0,2.0
342,Goldman Sachs,99000.0,2.0
343,Goldman Sachs,71500.0,2.0
344,Goldman Sachs,104500.0,2.0
345,Goldman Sachs,72000.0,2.0
346,Goldman Sachs,48000.0,2.0
347,Goldman Sachs,90000.0,2.0
348,Goldman Sachs,95500.0,2.0
349,Goldman Sachs,108000.0,2.0
350,Goldman Sachs,36500.0,2.0
351,Goldman Sachs,66500.0,2.0
352,Goldman Sachs,187500.0,2.0
353,Goldman Sachs,131500.0,2.0
355,Goldman Sachs,188500.0,2.0
356,Goldman Sachs,50500.0,2.0
357,Goldman Sachs,43500.0,2.0
358,Goldman Sachs,36000.0,2.0
359,Goldman Sachs,99000.0,2.0
360,Goldman Sachs,44000.0,2.0
361,Goldman Sachs,85500.0,2.0
362,Goldman Sachs,221000.0,2.0
363,Goldman Sachs,88000.0,2.0
364,Goldman Sachs,86000.0,2.0
365,Goldman Sachs,251500.0,2.0
366,Goldman Sachs,35000.0,2.0
368,Goldman Sachs,39000.0,2.0
369,Goldman Sachs,90500.0,2.0
370,Goldman Sachs,65500.0,2.0
371,Goldman Sachs,106500.0,2.0
372,Goldman Sachs,41000.0,2.0
373,Goldman Sachs,98500.0,2.0
374,Goldman Sachs,57500.0,2.0
375,Goldman Sachs,59500.0,2.0
376,Goldman Sachs,140000.0,2.0
377,Goldman Sachs,43000.0,2.0
378,Goldman Sachs,49000.0,2.0
379,Goldman Sachs,57500.0,2.0
380,Goldman Sachs,59500.0,2.0
381,Goldman Sachs,47500.0,2.0
382,Goldman Sachs,41000.0,2.0
383,Goldman Sachs,94000.0,2.0
384,Goldman Sachs,83000.0,2.0
385,Goldman Sachs,69500.0,2.0
386,Goldman Sachs,88500.0,2.0
387,Goldman Sachs,26500.0,2.0
388,Goldman Sachs,74500.0,2.0
389,Goldman Sachs,46500.0,2.0
391,JP Morgan,101488.0,309.0
392,JP Morgan,63180.0,308.0
393,JP Morgan,52578.0,290.0
394,JP Morgan,50865.0,238.0
395,JP Morgan,60883.0,169.0
396,JP Morgan,177109.0,106.0
397,JP Morgan,52304.0,96.0
398,JP Morgan,42476.0,75.0
399,JP Morgan,48254.0,74.0
400,JP Morgan,107527.0,73.0
401,JP Morgan,78866.0,73.0
402,JP Morgan,47190.0,64.0
403,JP Morgan,56133.0,64.0
404,JP Morgan,61667.0,58.0
405,JP Morgan,40738.0,52.0
406,JP Morgan,76936.0,48.0
407,JP Morgan,33538.0,44.0
408,JP Morgan,40123.0,40.0
409,JP Morgan,58530.0,33.0
410,JP Morgan,48371.0,33.0
411,JP Morgan,47480.0,31.0
412,JP Morgan,48638.0,30.0
413,JP Morgan,51086.0,28.0
414,JP Morgan,32449.0,27.0
415,JP Morgan,69981.0,26.0
416,JP Morgan,40000.0,22.0
417,JP Morgan,44216.0,21.0
418,JP Morgan,140889.0,21.0
419,JP Morgan,78506.0,21.0
420,JP Morgan,76025.0,20.0
421,JP Morgan,36305.0,20.0
422,JP Morgan,80214.0,20.0
423,JP Morgan,61812.0,18.0
424,JP Morgan,45635.0,18.0
425,JP Morgan,38957.0,18.0
426,JP Morgan,55303.0,17.0
427,JP Morgan,43803.0,17.0
428,JP Morgan,79251.0,17.0
429,JP Morgan,124604.0,15.0
430,JP Morgan,126419.0,15.0
431,JP Morgan,32908.0,15.0
432,JP Morgan,76639.0,14.0
433,JP Morgan,98438.0,14.0
434,JP Morgan,139888.0,13.0
435,JP Morgan,82161.0,13.0
436,JP Morgan,38288.0,12.0
437,JP Morgan,115438.0,12.0
438,JP Morgan,100853.0,11.0
439,JP Morgan,40575.0,11.0
440,JP Morgan,66346.0,11.0
441,JP Morgan,65348.0,11.0
442,JP Morgan,83739.0,11.0
443,JP Morgan,94163.0,10.0
444,JP Morgan,39439.0,10.0
445,JP Morgan,67355.0,10.0
446,JP Morgan,115566.0,10.0
447,JP Morgan,63619.0,10.0
448,JP Morgan,207263.0,9.0
449,JP Morgan,44216.0,9.0
450,JP Morgan,49296.0,9.0
451,JP Morgan,33716.0,9.0
452,JP Morgan,72965.0,9.0
453,JP Morgan,78670.0,9.0
454,JP Morgan,65362.0,9.0
455,JP Morgan,28918.0,8.0
456,JP Morgan,65188.0,8.0
457,JP Morgan,36741.0,8.0
458,JP Morgan,120695.0,8.0
459,JP Morgan,65224.0,8.0
460,JP Morgan,63280.0,8.0
461,JP Morgan,74938.0,8.0
462,JP Morgan,120293.0,8.0
463,JP Morgan,51042.0,8.0
464,JP Morgan,43493.0,8.0
465,JP Morgan,68577.0,8.0
466,JP Morgan,119047.0,7.0
467,JP Morgan,54794.0,7.0
468,JP Morgan,46537.0,7.0
469,JP Morgan,104770.0,7.0
470,JP Morgan,32331.0,7.0
471,JP Morgan,67647.0,7.0
472,JP Morgan,52578.0,7.0
473,JP Morgan,53907.0,7.0
474,JP Morgan,19000.0,7.0
475,JP Morgan,57835.0,7.0
476,JP Morgan,31431.0,7.0
477,JP Morgan,51393.0,7.0
478,JP Morgan,29160.0,6.0
479,JP Morgan,47506.0,6.0
480,JP Morgan,45857.0,6.0
481,JP Morgan,38457.0,6.0
482,JP Morgan,51816.0,6.0
483,JP Morgan,108741.0,6.0
484,JP Morgan,95134.0,6.0
485,JP Morgan,242392.0,6.0
486,JP Morgan,49268.0,6.0
487,JP Morgan,68477.0,6.0
488,JP Morgan,49773.0,6.0
489,JP Morgan,55497.0,6.0
490,JP Morgan,81115.0,6.0
491,JP Morgan,268247.0,6.0
492,JP Morgan,46501.0,6.0
493,JP Morgan,111973.0,6.0
494,JP Morgan,112943.0,6.0
495,JP Morgan,52393.0,6.0
496,JP Morgan,56989.0,5.0
497,JP Morgan,43792.0,5.0
498,JP Morgan,95429.0,5.0
499,JP Morgan,23100.0,5.0
500,JP Morgan,35918.0,5.0
501,JP Morgan,58339.0,5.0
502,JP Morgan,37999.0,5.0
503,JP Morgan,34031.0,5.0
504,JP Morgan,117369.0,5.0
505,JP Morgan,67299.0,5.0
506,JP Morgan,55489.0,5.0
507,JP Morgan,67432.0,5.0
508,JP Morgan,102701.0,5.0
509,JP Morgan,34750.0,5.0
510,JP Morgan,70193.0,5.0
511,JP Morgan,48148.0,5.0
512,JP Morgan,31276.0,5.0
513,JP Morgan,30810.0,5.0
514,JP Morgan,122145.0,5.0
515,JP Morgan,160012.0,5.0
516,JP Morgan,122295.0,5.0
517,JP Morgan,41011.0,5.0
518,JP Morgan,52337.0,5.0
519,JP Morgan,40900.0,5.0
520,JP Morgan,130437.0,5.0
521,JP Morgan,82692.0,5.0
522,JP Morgan,121930.0,5.0
523,JP Morgan,60188.0,5.0
524,JP Morgan,91261.0,4.0
525,JP Morgan,34492.0,4.0
526,JP Morgan,92410.0,4.0
527,JP Morgan,32343.0,4.0
528,JP Morgan,66764.0,4.0
529,JP Morgan,169277.0,4.0
530,JP Morgan,33162.0,4.0
531,JP Morgan,65088.0,4.0
532,JP Morgan,55009.0,4.0
533,JP Morgan,84216.0,4.0
534,JP Morgan,73917.0,4.0
535,JP Morgan,75402.0,4.0
536,JP Morgan,50816.0,4.0
537,JP Morgan,64881.0,4.0
538,JP Morgan,52701.0,4.0
539,JP Morgan,56702.0,4.0
540,JP Morgan,30360.0,4.0
541,JP Morgan,104915.0,4.0
542,JP Morgan,45166.0,4.0
543,JP Morgan,137327.0,4.0
544,JP Morgan,35921.0,4.0
545,JP Morgan,110911.0,4.0
546,JP Morgan,67690.0,4.0
547,JP Morgan,48803.0,4.0
548,JP Morgan,29846.0,4.0
549,JP Morgan,69824.0,4.0
550,JP Morgan,120959.0,4.0
551,JP Morgan,42604.0,4.0
552,JP Morgan,181204.0,4.0
553,JP Morgan,93267.0,4.0
554,JP Morgan,45115.0,4.0
555,JP Morgan,57598.0,4.0
556,JP Morgan,62648.0,4.0
557,JP Morgan,78822.0,4.0
558,JP Morgan,47535.0,4.0
559,JP Morgan,33849.0,4.0
560,JP Morgan,86501.0,4.0
561,JP Morgan,97516.0,4.0
562,JP Morgan,82500.0,4.0
563,JP Morgan,83216.0,3.0
564,JP Morgan,57033.0,3.0
565,JP Morgan,35606.0,3.0
566,JP Morgan,52578.0,3.0
567,JP Morgan,50041.0,3.0
568,JP Morgan,57849.0,3.0
569,JP Morgan,50000.0,3.0
570,JP Morgan,47353.0,3.0
571,JP Morgan,133303.0,3.0
572,JP Morgan,38903.0,3.0
573,JP Morgan,29443.0,3.0
574,JP Morgan,26289.0,3.0
575,JP Morgan,40198.0,3.0
576,JP Morgan,73005.0,3.0
577,JP Morgan,118511.0,3.0
578,JP Morgan,165441.0,3.0
579,JP Morgan,150000.0,3.0
580,JP Morgan,65578.0,3.0
581,JP Morgan,164584.0,3.0
582,JP Morgan,62862.0,3.0
583,JP Morgan,53376.0,3.0
584,JP Morgan,37272.0,3.0
585,JP Morgan,64385.0,3.0
586,JP Morgan,28319.0,3.0
587,Barclays,99759.0,404.0
588,Barclays,44216.0,317.0
589,Barclays,64694.0,272.0
590,Barclays,170231.0,226.0
591,Barclays,46069.0,182.0
592,Barclays,18808.0,136.0
593,Barclays,24717.0,129.0
594,Barclays,61719.0,118.0
595,Barclays,23482.0,81.0
596,Barclays,62862.0,80.0
597,Barclays,41075.0,75.0
598,Barclays,56371.0,72.0
599,Barclays,45869.0,70.0
600,Barclays,52253.0,64.0
601,Barclays,65884.0,63.0
602,Barclays,53357.0,62.0
603,Barclays,19347.0,61.0
604,Barclays,40593.0,60.0
605,Barclays,37753.0,59.0
606,Barclays,46093.0,59.0
607,Barclays,108813.0,58.0
608,Barclays,46664.0,56.0
609,Barclays,56237.0,51.0
610,Barclays,49233.0,50.0
611,Barclays,22871.0,48.0
612,Barclays,92764.0,47.0
613,Barclays,56223.0,47.0
614,Barclays,18556.0,45.0
615,Barclays,46066.0,41.0
616,Barclays,18026.0,41.0
617,Barclays,40093.0,41.0
618,Barclays,31189.0,40.0
619,Barclays,79713.0,38.0
620,Barclays,77828.0,37.0
